topic	dist	words
0	0	citizenship minister government people strip nationals dual abbott act cabinet australians leave immigration person made sole department discussion weeks stateless 
1	0	de captain states released powerful urso branco nato rond secretary souza find nia presos bob birrinha began os laws pres 
2	0	wong home head veterans center report yountville pathway jennifer victims office died sheriff wounds albert gonzales rifle francisco san napa 
3	0	corrections page due make archived note brought add talk administrators policy template editprotected longer correction update share attention formatting articles 
4	0	ash flights bst irish uk volcanic airports europe ireland affected result caused iaa airspace monday city passengers cloud morning decision 
5	0	people golick vanuatu tsunami injuries large warning wednesday family magnitude quake system miles helped enberg external samoa happened reason pacific 
6	0	north news kim korea state leader south official mr reported suffered officials military korean health reports told il parade agency 
7	0	france spain zidane vieira time minutes ribery game puyol shot casillas match villa goal games referee cup world pass pernia 
8	0	bbc browser content sheets hms style added css full public page low le statement areas view current damaged place search 
9	0	french defence safety spanish world tuesday back middle parliament subs making war depth information based naval extremely win david times 
10	0	nuclear submarines submarine sonar collision british navy france vanguard triomphant royal missile vessels sea atlantic incident collided ocean ministry active 
11	0	australian children sharrouf law return terrorism dutton foreign family immigration terrorist security face khaled intelligence citizens fighters isis countries bill 
12	0	year police saturday march wednesday united hostages told erie deputy killed dead wife including heard western suicide shots father pennsylvania 
13	0	found electricity save power running monitor computer computers turning showed lead cost today years campaign standby pro day pc means 
